"Date","Open","High","Low","Close","Pivot ‌Pivot Points‌ (standard,n)","Resistance 1 ‌Pivot Points‌ (standard,n)","Support 1 ‌Pivot Points‌ (standard,n)","Resistance 2 ‌Pivot Points‌ (standard,n)","Support 2 ‌Pivot Points‌ (standard,n)","Resistance 3 ‌Pivot Points‌ (standard,n)","Support 3 ‌Pivot Points‌ (standard,n)"
"Thu Jan 12 2023 13:40:00 GMT+0530 (India Standard Time)","1467.50","1470.20","1466.00","1470.05","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 13:45:00 GMT+0530 (India Standard Time)","1470.00","1473.75","1469.50","1473.25","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 13:50:00 GMT+0530 (India Standard Time)","1473.25","1475.25","1472.55","1474.75","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 13:55:00 GMT+0530 (India Standard Time)","1474.70","1475.35","1473.60","1474.75","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 14:00:00 GMT+0530 (India Standard Time)","1474.30","1475.40","1473.40","1474.95","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 14:05:00 GMT+0530 (India Standard Time)","1475.05","1476.25","1473.95","1475.40","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 14:10:00 GMT+0530 (India Standard Time)","1475.45","1475.90","1473.50","1474.55","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 14:15:00 GMT+0530 (India Standard Time)","1474.30","1477.25","1473.30","1475.75","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 14:20:00 GMT+0530 (India Standard Time)","1475.75","1478.90","1475.20","1478.55","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 14:25:00 GMT+0530 (India Standard Time)","1478.55","1479.00","1475.10","1475.55","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 14:30:00 GMT+0530 (India Standard Time)","1475.55","1476.80","1474.50","1474.55","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 14:35:00 GMT+0530 (India Standard Time)","1474.55","1476.00","1473.00","1474.40","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 14:40:00 GMT+0530 (India Standard Time)","1474.40","1474.85","1471.70","1472.45","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 14:45:00 GMT+0530 (India Standard Time)","1472.20","1474.80","1472.00","1473.25","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
