date,open,high,low,close,dayMovement
"2010-01-04 00:00:00",5201,5238,5167,5232,31
"2010-01-05 00:00:00",5277,5288,5242,5278,46
"2010-01-06 00:00:00",5278,5311,5260,5282,4
"2010-01-07 00:00:00",5282,5303,5245,5263,-19
"2010-01-08 00:00:00",5264,5277,5235,5245,-18
"2010-01-11 00:00:00",5264,5287,5228,5249,4
"2010-01-12 00:00:00",5251,5301,5201,5210,-39
"2010-01-13 00:00:00",5213,5239,5170,5234,24
"2010-01-14 00:00:00",5235,5273,5233,5260,26
"2010-01-15 00:00:00",5260,5280,5242,5252,-8
"2010-01-18 00:00:00",5254,5293,5229,5275,23
"2010-01-19 00:00:00",5274,5288,5219,5226,-49
"2010-01-20 00:00:00",5226,5257,5201,5222,-4
"2010-01-21 00:00:00",5220,5220,5085,5094,-128
"2010-01-22 00:00:00",5094,5094,4955,5036,-58
"2010-01-25 00:00:00",5035,5036,4983,5008,-28
"2010-01-27 00:00:00",5009,5009,4833,4853,-155
"2010-01-28 00:00:00",4863,4930,4825,4867,14
"2010-01-29 00:00:00",4866,4894,4766,4882,15
"2010-02-01 00:00:00",4882,4919,4827,4900,18
"2010-02-02 00:00:00",4908,4951,4814,4830,-70
"2010-02-03 00:00:00",4831,4949,4831,4932,102
"2010-02-04 00:00:00",4931,4931,4832,4845,-87
"2010-02-05 00:00:00",4820,4827,4692,4719,-126
"2010-02-06 00:00:00",4713,4768,4713,4757,38
"2010-02-08 00:00:00",4755,4799,4675,4760,3
"2010-02-09 00:00:00",4761,4810,4739,4793,33
"2010-02-10 00:00:00",4793,4827,4748,4757,-36
"2010-02-11 00:00:00",4757,4844,4757,4827,70
"2010-02-15 00:00:00",4828,4846,4784,4802,-25
"2010-02-16 00:00:00",4802,4880,4791,4856,54
"2010-02-17 00:00:00",4859,4930,4858,4914,58
"2010-02-18 00:00:00",4915,4922,4874,4888,-26
"2010-02-19 00:00:00",4887,4887,4806,4845,-43
"2010-02-22 00:00:00",4849,4912,4846,4856,11
"2010-02-23 00:00:00",4857,4884,4833,4870,14
"2010-02-24 00:00:00",4870,4881,4835,4859,-11
"2010-02-25 00:00:00",4859,4880,4836,4860,1
"2010-02-26 00:00:00",4859,4992,4858,4922,62
"2010-03-02 00:00:00",4936,5029,4935,5017,95
"2010-03-03 00:00:00",5016,5093,5015,5088,71
"2010-03-04 00:00:00",5097,5097,5049,5080,-8
"2010-03-05 00:00:00",5081,5119,5068,5089,9
"2010-03-08 00:00:00",5092,5147,5092,5124,35
"2010-03-09 00:00:00",5121,5132,5094,5102,-22
"2010-03-10 00:00:00",5102,5137,5092,5116,14
"2010-03-11 00:00:00",5116,5153,5102,5133,17
"2010-03-12 00:00:00",5132,5158,5122,5137,4
"2010-03-15 00:00:00",5134,5151,5101,5129,-8
"2010-03-16 00:00:00",5129,5209,5126,5198,69
"2010-03-17 00:00:00",5198,5261,5177,5232,34
"2010-03-18 00:00:00",5233,5256,5214,5246,14
"2010-03-19 00:00:00",5247,5270,5237,5263,17
"2010-03-22 00:00:00",5261,5261,5187,5205,-58
"2010-03-23 00:00:00",5206,5244,5193,5225,20
"2010-03-25 00:00:00",5225,5267,5203,5260,35
"2010-03-26 00:00:00",5261,5294,5261,5282,22
"2010-03-29 00:00:00",5284,5330,5242,5303,21
"2010-03-30 00:00:00",5303,5325,5251,5262,-41
"2010-03-31 00:00:00",5260,5294,5235,5249,-13
"2010-04-01 00:00:00",5249,5299,5249,5291,42
"2010-04-05 00:00:00",5291,5378,5291,5368,77
"2010-04-06 00:00:00",5370,5389,5352,5366,-2
"2010-04-07 00:00:00",5366,5400,5345,5375,9
"2010-04-08 00:00:00",5376,5384,5290,5304,-71
"2010-04-09 00:00:00",5302,5377,5302,5362,58
"2010-04-12 00:00:00",5354,5382,5325,5340,-22
"2010-04-13 00:00:00",5341,5357,5302,5323,-17
"2010-04-15 00:00:00",5323,5373,5265,5274,-49
"2010-04-16 00:00:00",5273,5283,5238,5263,-11
"2010-04-19 00:00:00",5279,5279,5161,5204,-59
"2010-04-20 00:00:00",5208,5257,5208,5230,26
"2010-04-21 00:00:00",5230,5266,5230,5245,15
"2010-04-22 00:00:00",5249,5332,5221,5269,24
"2010-04-23 00:00:00",5270,5311,5270,5304,35
"2010-04-26 00:00:00",5299,5342,5299,5322,18
"2010-04-27 00:00:00",5322,5331,5301,5308,-14
"2010-04-28 00:00:00",5308,5308,5202,5215,-93
"2010-04-29 00:00:00",5215,5265,5215,5254,39
"2010-04-30 00:00:00",5254,5295,5254,5278,24
"2010-05-03 00:00:00",5278,5279,5210,5223,-55
"2010-05-04 00:00:00",5224,5250,5135,5149,-74
"2010-05-05 00:00:00",5148,5148,5057,5125,-24
"2010-05-06 00:00:00",5124,5125,5038,5091,-34
"2010-05-07 00:00:00",5072,5086,4985,5018,-73
"2010-05-10 00:00:00",5027,5203,5027,5194,176
"2010-05-11 00:00:00",5190,5207,5127,5136,-58
"2010-05-12 00:00:00",5134,5173,5099,5157,21
"2010-05-13 00:00:00",5158,5213,5148,5179,22
"2010-05-14 00:00:00",5181,5193,5071,5094,-85
"2010-05-17 00:00:00",5094,5095,4966,5060,-34
"2010-05-18 00:00:00",5060,5105,5024,5066,6
"2010-05-19 00:00:00",5065,5065,4908,4920,-146
"2010-05-20 00:00:00",4924,4980,4924,4948,28
"2010-05-21 00:00:00",4947,4947,4842,4931,-17
"2010-05-24 00:00:00",4944,5030,4923,4944,13
"2010-05-25 00:00:00",4945,4947,4786,4807,-137
"2010-05-26 00:00:00",4807,4925,4807,4917,110
"2010-05-27 00:00:00",4915,5017,4898,5003,86
"2010-05-28 00:00:00",5006,5077,5006,5067,64
"2010-05-31 00:00:00",5076,5098,5039,5086,19
"2010-06-01 00:00:00",5086,5087,4961,4970,-116
"2010-06-02 00:00:00",4971,5031,4967,5020,50
"2010-06-03 00:00:00",5020,5126,5020,5111,91
"2010-06-04 00:00:00",5113,5148,5092,5136,25
"2010-06-07 00:00:00",5133,5133,5004,5034,-102
"2010-06-08 00:00:00",5037,5071,4967,4987,-47
"2010-06-09 00:00:00",4985,5051,4980,5000,13
"2010-06-10 00:00:00",5000,5085,4998,5079,79
"2010-06-11 00:00:00",5079,5139,5079,5119,40
"2010-06-14 00:00:00",5120,5201,5120,5198,79
"2010-06-15 00:00:00",5201,5231,5171,5222,24
"2010-06-16 00:00:00",5225,5256,5215,5233,11
"2010-06-17 00:00:00",5234,5286,5207,5275,42
"2010-06-18 00:00:00",5275,5302,5246,5263,-12
"2010-06-21 00:00:00",5267,5367,5267,5353,90
"2010-06-22 00:00:00",5354,5354,5311,5317,-36
"2010-06-23 00:00:00",5316,5333,5288,5323,6
"2010-06-24 00:00:00",5323,5348,5285,5321,-2
"2010-06-25 00:00:00",5321,5321,5260,5269,-52
"2010-06-28 00:00:00",5271,5339,5271,5334,65
"2010-06-29 00:00:00",5334,5334,5236,5256,-78
"2010-06-30 00:00:00",5254,5320,5210,5313,57
"2010-07-01 00:00:00",5312,5313,5232,5251,-62
"2010-07-02 00:00:00",5251,5277,5226,5237,-14
"2010-07-05 00:00:00",5237,5253,5226,5236,-1
"2010-07-06 00:00:00",5236,5297,5232,5289,53
"2010-07-07 00:00:00",5293,5297,5233,5241,-48
"2010-07-08 00:00:00",5242,5321,5242,5297,56
"2010-07-09 00:00:00",5297,5359,5297,5352,55
"2010-07-12 00:00:00",5352,5403,5352,5383,31
"2010-07-13 00:00:00",5370,5406,5358,5401,18
"2010-07-14 00:00:00",5402,5453,5372,5386,-15
"2010-07-15 00:00:00",5387,5399,5361,5379,-7
"2010-07-16 00:00:00",5377,5401,5374,5394,15
"2010-07-19 00:00:00",5393,5409,5362,5386,-8
"2010-07-20 00:00:00",5387,5416,5354,5368,-18
"2010-07-21 00:00:00",5369,5409,5369,5399,31
"2010-07-22 00:00:00",5399,5447,5372,5442,43
"2010-07-23 00:00:00",5442,5478,5435,5449,7
"2010-07-26 00:00:00",5447,5466,5409,5419,-30
"2010-07-27 00:00:00",5420,5451,5407,5431,12
"2010-07-28 00:00:00",5436,5448,5386,5398,-33
"2010-07-29 00:00:00",5398,5416,5382,5409,11
"2010-07-30 00:00:00",5408,5413,5349,5368,-41
"2010-08-02 00:00:00",5370,5439,5351,5432,64
"2010-08-03 00:00:00",5433,5459,5426,5440,8
"2010-08-04 00:00:00",5441,5482,5428,5468,28
"2010-08-05 00:00:00",5470,5487,5443,5447,-21
"2010-08-06 00:00:00",5448,5472,5431,5439,-8
"2010-08-09 00:00:00",5440,5492,5433,5486,47
"2010-08-10 00:00:00",5487,5491,5445,5461,-25
"2010-08-11 00:00:00",5461,5475,5412,5421,-40
"2010-08-12 00:00:00",5419,5431,5372,5416,-5
"2010-08-13 00:00:00",5421,5477,5416,5452,36
"2010-08-16 00:00:00",5452,5465,5397,5418,-34
"2010-08-17 00:00:00",5422,5444,5409,5414,-4
"2010-08-18 00:00:00",5416,5488,5416,5479,65
"2010-08-19 00:00:00",5478,5545,5478,5540,61
"2010-08-20 00:00:00",5541,5547,5513,5531,-9
"2010-08-23 00:00:00",5531,5550,5519,5544,13
"2010-08-24 00:00:00",5541,5547,5488,5505,-39
"2010-08-25 00:00:00",5505,5506,5453,5462,-43
"2010-08-26 00:00:00",5462,5487,5455,5478,16
"2010-08-27 00:00:00",5490,5495,5392,5409,-69
"2010-08-30 00:00:00",5409,5469,5390,5415,6
"2010-08-31 00:00:00",5414,5414,5349,5402,-13
"2010-09-01 00:00:00",5403,5479,5403,5472,70
"2010-09-02 00:00:00",5472,5514,5472,5486,14
"2010-09-03 00:00:00",5486,5510,5474,5479,-7
"2010-09-06 00:00:00",5480,5589,5480,5577,98
"2010-09-07 00:00:00",5576,5626,5572,5604,27
"2010-09-08 00:00:00",5604,5625,5568,5608,4
"2010-09-09 00:00:00",5608,5647,5608,5640,32
"2010-09-13 00:00:00",5639,5771,5639,5760,120
"2010-09-14 00:00:00",5760,5838,5760,5796,36
"2010-09-15 00:00:00",5795,5869,5792,5861,65
"2010-09-16 00:00:00",5861,5902,5816,5829,-32
"2010-09-17 00:00:00",5829,5898,5829,5885,56
"2010-09-20 00:00:00",5885,5990,5885,5980,95
"2010-09-21 00:00:00",5981,6033,5962,6009,29
"2010-09-22 00:00:00",6008,6037,5946,5991,-18
"2010-09-23 00:00:00",5991,6007,5932,5960,-31
"2010-09-24 00:00:00",5959,6029,5951,6018,58
"2010-09-27 00:00:00",6018,6074,6018,6036,18
"2010-09-28 00:00:00",6036,6050,5991,6030,-6
"2010-09-29 00:00:00",6029,6072,5980,5991,-39
"2010-09-30 00:00:00",5991,6048,5964,6030,39
"2010-10-01 00:00:00",6030,6153,6030,6143,113
"2010-10-04 00:00:00",6145,6222,6145,6159,16
"2010-10-05 00:00:00",6159,6188,6118,6146,-13
"2010-10-06 00:00:00",6151,6223,6149,6186,40
"2010-10-07 00:00:00",6187,6199,6108,6120,-66
"2010-10-08 00:00:00",6121,6149,6067,6103,-17
"2010-10-11 00:00:00",6106,6188,6106,6136,33
"2010-10-12 00:00:00",6136,6145,6058,6091,-45
"2010-10-13 00:00:00",6091,6240,6090,6234,143
"2010-10-14 00:00:00",6234,6284,6158,6177,-57
"2010-10-15 00:00:00",6176,6201,6050,6063,-114
"2010-10-18 00:00:00",6113,6115,5985,6076,13
"2010-10-19 00:00:00",6114,6127,6008,6027,-49
"2010-10-20 00:00:00",6003,6038,5967,5982,-45
"2010-10-21 00:00:00",6009,6114,5985,6102,120
"2010-10-22 00:00:00",6113,6121,6041,6066,-36
"2010-10-25 00:00:00",6101,6151,6095,6106,40
"2010-10-26 00:00:00",6116,6120,6075,6082,-24
"2010-10-27 00:00:00",6075,6076,5988,6013,-69
"2010-10-28 00:00:00",6040,6071,5968,5988,-25
"2010-10-29 00:00:00",6021,6033,5937,6018,30
"2010-11-01 00:00:00",6092,6132,6085,6118,100
"2010-11-02 00:00:00",6128,6138,6094,6119,1
"2010-11-03 00:00:00",6151,6183,6147,6161,42
"2010-11-04 00:00:00",6210,6290,6199,6282,121
"2010-11-05 00:00:00",6322,6339,6303,6312,30
"2010-11-08 00:00:00",6335,6336,6265,6273,-39
"2010-11-09 00:00:00",6281,6311,6244,6302,29
"2010-11-10 00:00:00",6303,6308,6269,6276,-26
"2010-11-11 00:00:00",6286,6297,6180,6194,-82
"2010-11-12 00:00:00",6182,6203,6057,6072,-122
"2010-11-15 00:00:00",6080,6129,6039,6122,50
"2010-11-16 00:00:00",6143,6144,5971,5989,-133
"2010-11-18 00:00:00",6076,6076,5907,5999,10
"2010-11-19 00:00:00",6011,6013,5864,5890,-109
"2010-11-22 00:00:00",5921,6020,5905,6010,120
"2010-11-23 00:00:00",5972,5973,5825,5935,-75
"2010-11-24 00:00:00",5947,5977,5834,5866,-69
"2010-11-25 00:00:00",5884,5907,5780,5800,-66
"2010-11-26 00:00:00",5829,5839,5690,5752,-48
"2010-11-29 00:00:00",5790,5843,5755,5830,78
"2010-11-30 00:00:00",5812,5892,5768,5863,33
"2010-12-01 00:00:00",5871,5971,5866,5961,98
"2010-12-02 00:00:00",6023,6030,5981,6012,51
"2010-12-03 00:00:00",6013,6025,5964,5993,-19
"2010-12-06 00:00:00",6034,6069,5982,5992,-1
"2010-12-07 00:00:00",5995,6001,5940,5977,-15
"2010-12-08 00:00:00",5954,5960,5879,5904,-73
"2010-12-09 00:00:00",5924,5927,5742,5767,-137
"2010-12-10 00:00:00",5761,5866,5721,5857,90
"2010-12-13 00:00:00",5883,5914,5796,5908,51
"2010-12-14 00:00:00",5929,5954,5889,5944,36
"2010-12-15 00:00:00",5931,5943,5866,5892,-52
"2010-12-16 00:00:00",5911,5956,5855,5949,57
"2010-12-20 00:00:00",5927,5985,5900,5947,-2
"2010-12-21 00:00:00",5960,6007,5960,6001,54
"2010-12-22 00:00:00",6019,6024,5958,5984,-17
"2010-12-23 00:00:00",6006,6006,5965,5980,-4
"2010-12-24 00:00:00",5940,6017,5940,6012,32
"2010-12-27 00:00:00",6013,6046,5991,5998,-14
"2010-12-28 00:00:00",6005,6011,5982,5996,-2
"2010-12-29 00:00:00",6005,6068,6003,6060,64
"2010-12-30 00:00:00",6062,6106,6062,6102,42
"2010-12-31 00:00:00",6105,6147,6104,6135,33
"2011-01-03 00:00:00",6177,6179,6147,6158,23
"2011-01-04 00:00:00",6173,6181,6124,6146,-12
"2011-01-05 00:00:00",6141,6141,6062,6080,-66
"2011-01-06 00:00:00",6107,6116,6022,6048,-32
"2011-01-07 00:00:00",6031,6051,5884,5905,-143
"2011-01-10 00:00:00",5901,5907,5741,5763,-142
"2011-01-11 00:00:00",5768,5843,5698,5754,-9
"2011-01-12 00:00:00",5800,5874,5711,5863,109
"2011-01-13 00:00:00",5851,5858,5737,5752,-111
"2011-01-14 00:00:00",5752,5834,5640,5655,-97
"2011-01-17 00:00:00",5649,5696,5624,5655,0
"2011-01-18 00:00:00",5683,5731,5671,5724,69
"2011-01-19 00:00:00",5737,5748,5663,5691,-33
"2011-01-20 00:00:00",5656,5729,5635,5712,21
"2011-01-21 00:00:00",5692,5718,5675,5697,-15
"2011-01-24 00:00:00",5717,5756,5698,5743,46
"2011-01-25 00:00:00",5763,5802,5681,5687,-56
