"Date","Open","High","Low","Close","Pivot ‌Pivot Points‌ (standard,n)","Resistance 1 ‌Pivot Points‌ (standard,n)","Support 1 ‌Pivot Points‌ (standard,n)","Resistance 2 ‌Pivot Points‌ (standard,n)","Support 2 ‌Pivot Points‌ (standard,n)","Resistance 3 ‌Pivot Points‌ (standard,n)","Support 3 ‌Pivot Points‌ (standard,n)"
"Tue Nov 29 2022 00:00:00 GMT+0530 (India Standard Time)","1621.20","1638.75","1615.05","1629.05","1490.02","1594.03","1433.63","1650.42","1329.62","1810.82","1169.22"
"Wed Nov 30 2022 00:00:00 GMT+0530 (India Standard Time)","1619.95","1645.75","1613.15","1634.95","1490.02","1594.03","1433.63","1650.42","1329.62","1810.82","1169.22"
"Thu Dec 01 2022 00:00:00 GMT+0530 (India Standard Time)","1656.20","1672.60","1652.30","1657.10","1591.15","1697.30","1528.80","1759.65","1422.65","1928.15","1254.15"
"Fri Dec 02 2022 00:00:00 GMT+0530 (India Standard Time)","1656.00","1661.80","1633.95","1637.90","1591.15","1697.30","1528.80","1759.65","1422.65","1928.15","1254.15"
"Mon Dec 05 2022 00:00:00 GMT+0530 (India Standard Time)","1638.00","1644.85","1623.30","1639.75","1591.15","1697.30","1528.80","1759.65","1422.65","1928.15","1254.15"
"Tue Dec 06 2022 00:00:00 GMT+0530 (India Standard Time)","1625.00","1626.00","1607.55","1612.90","1591.15","1697.30","1528.80","1759.65","1422.65","1928.15","1254.15"
"Wed Dec 07 2022 00:00:00 GMT+0530 (India Standard Time)","1608.00","1623.80","1596.70","1605.50","1591.15","1697.30","1528.80","1759.65","1422.65","1928.15","1254.15"
"Thu Dec 08 2022 00:00:00 GMT+0530 (India Standard Time)","1605.50","1623.90","1598.50","1620.15","1591.15","1697.30","1528.80","1759.65","1422.65","1928.15","1254.15"
"Fri Dec 09 2022 00:00:00 GMT+0530 (India Standard Time)","1628.00","1628.00","1561.10","1569.30","1591.15","1697.30","1528.80","1759.65","1422.65","1928.15","1254.15"
"Mon Dec 12 2022 00:00:00 GMT+0530 (India Standard Time)","1550.00","1565.95","1530.05","1547.20","1591.15","1697.30","1528.80","1759.65","1422.65","1928.15","1254.15"
"Tue Dec 13 2022 00:00:00 GMT+0530 (India Standard Time)","1547.20","1577.50","1541.15","1572.15","1591.15","1697.30","1528.80","1759.65","1422.65","1928.15","1254.15"
"Wed Dec 14 2022 00:00:00 GMT+0530 (India Standard Time)","1582.00","1588.50","1573.00","1579.40","1591.15","1697.30","1528.80","1759.65","1422.65","1928.15","1254.15"
"Thu Dec 15 2022 00:00:00 GMT+0530 (India Standard Time)","1569.30","1570.00","1535.25","1540.50","1591.15","1697.30","1528.80","1759.65","1422.65","1928.15","1254.15"
"Fri Dec 16 2022 00:00:00 GMT+0530 (India Standard Time)","1525.00","1549.50","1512.05","1522.20","1591.15","1697.30","1528.80","1759.65","1422.65","1928.15","1254.15"
"Mon Dec 19 2022 00:00:00 GMT+0530 (India Standard Time)","1507.95","1516.90","1495.05","1507.35","1591.15","1697.30","1528.80","1759.65","1422.65","1928.15","1254.15"
"Tue Dec 20 2022 00:00:00 GMT+0530 (India Standard Time)","1501.00","1516.00","1482.45","1507.30","1591.15","1697.30","1528.80","1759.65","1422.65","1928.15","1254.15"
"Wed Dec 21 2022 00:00:00 GMT+0530 (India Standard Time)","1515.00","1521.00","1502.35","1509.55","1591.15","1697.30","1528.80","1759.65","1422.65","1928.15","1254.15"
"Thu Dec 22 2022 00:00:00 GMT+0530 (India Standard Time)","1521.50","1529.95","1511.75","1522.05","1591.15","1697.30","1528.80","1759.65","1422.65","1928.15","1254.15"
"Fri Dec 23 2022 00:00:00 GMT+0530 (India Standard Time)","1508.70","1509.90","1493.00","1497.10","1591.15","1697.30","1528.80","1759.65","1422.65","1928.15","1254.15"
"Mon Dec 26 2022 00:00:00 GMT+0530 (India Standard Time)","1500.50","1509.90","1496.35","1502.40","1591.15","1697.30","1528.80","1759.65","1422.65","1928.15","1254.15"
