"Date","Open","High","Low","Close","Pivot ‌Pivot Points‌ (standard,n)","Resistance 1 ‌Pivot Points‌ (standard,n)","Support 1 ‌Pivot Points‌ (standard,n)","Resistance 2 ‌Pivot Points‌ (standard,n)","Support 2 ‌Pivot Points‌ (standard,n)","Resistance 3 ‌Pivot Points‌ (standard,n)","Support 3 ‌Pivot Points‌ (standard,n)"
"Thu Jan 12 2023 11:10:00 GMT+0530 (India Standard Time)","1464.35","1464.40","1462.00","1463.50","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 11:15:00 GMT+0530 (India Standard Time)","1463.50","1465.75","1462.90","1465.70","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 11:20:00 GMT+0530 (India Standard Time)","1465.70","1465.70","1464.55","1465.00","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 11:25:00 GMT+0530 (India Standard Time)","1465.00","1465.00","1463.70","1464.45","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 11:30:00 GMT+0530 (India Standard Time)","1464.45","1465.50","1463.80","1464.90","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 11:35:00 GMT+0530 (India Standard Time)","1464.90","1465.30","1463.60","1464.50","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 11:40:00 GMT+0530 (India Standard Time)","1464.50","1464.95","1463.00","1464.45","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 11:45:00 GMT+0530 (India Standard Time)","1464.50","1464.75","1463.00","1464.50","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 11:50:00 GMT+0530 (India Standard Time)","1464.60","1464.90","1460.10","1460.85","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 11:55:00 GMT+0530 (India Standard Time)","1460.80","1461.65","1459.35","1460.40","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 12:00:00 GMT+0530 (India Standard Time)","1460.25","1464.00","1460.00","1463.45","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 12:05:00 GMT+0530 (India Standard Time)","1463.25","1466.40","1462.25","1465.25","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 12:10:00 GMT+0530 (India Standard Time)","1465.15","1469.15","1464.95","1468.80","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 12:15:00 GMT+0530 (India Standard Time)","1468.80","1473.05","1468.40","1472.90","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 12:20:00 GMT+0530 (India Standard Time)","1472.95","1474.75","1470.45","1471.65","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 12:25:00 GMT+0530 (India Standard Time)","1471.85","1475.90","1471.45","1475.00","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 12:30:00 GMT+0530 (India Standard Time)","1475.45","1477.00","1473.00","1473.05","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 12:35:00 GMT+0530 (India Standard Time)","1473.60","1474.50","1471.70","1474.25","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 12:40:00 GMT+0530 (India Standard Time)","1474.25","1475.50","1473.75","1475.20","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 12:45:00 GMT+0530 (India Standard Time)","1475.20","1475.30","1474.00","1474.15","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 12:50:00 GMT+0530 (India Standard Time)","1474.20","1476.45","1474.00","1474.50","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 12:55:00 GMT+0530 (India Standard Time)","1474.50","1474.55","1473.00","1473.90","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 13:00:00 GMT+0530 (India Standard Time)","1473.50","1474.90","1472.10","1472.95","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 13:05:00 GMT+0530 (India Standard Time)","1473.00","1473.95","1471.40","1473.95","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 13:10:00 GMT+0530 (India Standard Time)","1473.95","1474.45","1470.40","1471.00","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
"Thu Jan 12 2023 13:15:00 GMT+0530 (India Standard Time)","1471.20","1473.85","1471.00","1472.85","1476.38","1488.67","1458.77","1506.28","1446.48","1536.18","1416.58"
