date,open,high,low,close
"2022-09-09 09:15:00",17913,17925,17911,17918
"2022-09-09 09:16:00",17917,17918,17902,17905
"2022-09-09 09:17:00",17903,17904,17894,17898
"2022-09-09 09:18:00",17898,17901,17890,17890
"2022-09-09 09:19:00",17889,17903,17889,17901
"2022-09-09 09:20:00",17900,17905,17893,17893
"2022-09-09 09:21:00",17892,17893,17887,17887
"2022-09-09 09:22:00",17887,17893,17884,17890
"2022-09-09 09:23:00",17889,17889,17882,17885
"2022-09-09 09:24:00",17885,17891,17882,17891
"2022-09-09 09:25:00",17892,17898,17890,17897
"2022-09-09 09:26:00",17897,17899,17891,17892
"2022-09-09 09:27:00",17892,17894,17889,17889
"2022-09-09 09:28:00",17889,17893,17884,17892
"2022-09-09 09:29:00",17893,17894,17891,17892
"2022-09-09 09:30:00",17892,17894,17889,17891
"2022-09-09 09:31:00",17892,17900,17891,17898
"2022-09-09 09:32:00",17898,17898,17892,17893
"2022-09-09 09:33:00",17893,17894,17878,17878
"2022-09-09 09:34:00",17878,17878,17872,17875
"2022-09-09 09:35:00",17874,17875,17869,17872
"2022-09-09 09:36:00",17872,17880,17870,17873
"2022-09-09 09:37:00",17872,17873,17869,17871
"2022-09-09 09:38:00",17871,17879,17870,17878
"2022-09-09 09:39:00",17878,17879,17876,17876
"2022-09-09 09:40:00",17875,17877,17871,17875
"2022-09-09 09:41:00",17875,17879,17874,17878
"2022-09-09 09:42:00",17877,17889,17877,17888
"2022-09-09 09:43:00",17888,17892,17888,17888
"2022-09-09 09:44:00",17888,17894,17887,17894
"2022-09-09 09:45:00",17893,17896,17891,17894
"2022-09-09 09:46:00",17895,17897,17889,17890
"2022-09-09 09:47:00",17891,17892,17888,17888
"2022-09-09 09:48:00",17889,17890,17887,17887
"2022-09-09 09:49:00",17887,17887,17881,17883
"2022-09-09 09:50:00",17884,17887,17882,17887
"2022-09-09 09:51:00",17886,17889,17884,17888
"2022-09-09 09:52:00",17888,17890,17887,17890
"2022-09-09 09:53:00",17890,17892,17888,17890
"2022-09-09 09:54:00",17890,17893,17889,17891
"2022-09-09 09:55:00",17890,17893,17886,17886
"2022-09-09 09:56:00",17887,17887,17883,17884
"2022-09-09 09:57:00",17884,17889,17884,17888
"2022-09-09 09:58:00",17888,17892,17888,17892
"2022-09-09 09:59:00",17892,17897,17892,17896
"2022-09-09 10:00:00",17896,17898,17894,17897
