Date,Open,High,Low,Close
2022-07-19 09:15:00,16195,16243,16195,16240
2022-07-19 09:20:00,16240,16253,16233,16252
2022-07-19 09:25:00,16252,16259,16245,16258
2022-07-19 09:30:00,16258,16267,16251,16253
2022-07-19 09:35:00,16254,16254,16240,16242
2022-07-19 09:40:00,16242,16268,16241,16265
2022-07-19 09:45:00,16265,16279,16264,16270
2022-07-19 09:50:00,16271,16289,16270,16285
2022-07-19 09:55:00,16284,16284,16266,16277
2022-07-19 10:00:00,16278,16280,16271,16278
2022-07-19 10:05:00,16277,16288,16267,16287
2022-07-19 10:10:00,16287,16298,16287,16295
2022-07-19 10:15:00,16295,16295,16286,16287
2022-07-19 10:20:00,16288,16293,16276,16291
2022-07-19 10:25:00,16291,16292,16281,16284
2022-07-19 10:30:00,16285,16289,16278,16288
2022-07-19 10:35:00,16288,16297,16288,16297
2022-07-19 10:40:00,16298,16306,16297,16304
2022-07-19 10:45:00,16304,16310,16295,16310
2022-07-19 10:50:00,16310,16310,16303,16306
2022-07-19 10:55:00,16306,16316,16305,16314
2022-07-19 11:00:00,16314,16316,16310,16314
2022-07-19 11:05:00,16314,16322,16314,16320
2022-07-19 11:10:00,16321,16328,16320,16323
2022-07-19 11:15:00,16323,16323,16307,16307
2022-07-19 11:20:00,16307,16317,16307,16315
2022-07-19 11:25:00,16315,16315,16289,16289
2022-07-19 11:30:00,16288,16300,16285,16295
2022-07-19 11:35:00,16296,16296,16284,16293
2022-07-19 11:40:00,16293,16294,16269,16269
2022-07-19 11:45:00,16268,16276,16255,16265
2022-07-19 11:50:00,16264,16274,16263,16267
2022-07-19 11:55:00,16267,16282,16262,16282
2022-07-19 12:00:00,16281,16291,16281,16289
2022-07-19 12:05:00,16290,16296,16288,16290
2022-07-19 12:10:00,16290,16307,16288,16305
2022-07-19 12:15:00,16304,16311,16303,16305
2022-07-19 12:20:00,16304,16312,16298,16309
2022-07-19 12:25:00,16309,16310,16298,16306
2022-07-19 12:30:00,16306,16321,16298,16316
2022-07-19 12:35:00,16316,16322,16313,16315
2022-07-19 12:40:00,16315,16322,16312,16315
2022-07-19 12:45:00,16315,16321,16310,16315
2022-07-19 12:50:00,16315,16316,16300,16301
2022-07-19 12:55:00,16301,16315,16301,16313
2022-07-19 13:00:00,16313,16314,16294,16295
2022-07-19 13:05:00,16295,16298,16285,16290
2022-07-19 13:10:00,16290,16290,16269,16273
2022-07-19 13:15:00,16272,16284,16266,16282
2022-07-19 13:20:00,16282,16286,16278,16280
2022-07-19 13:25:00,16280,16282,16269,16281
2022-07-19 13:30:00,16280,16292,16276,16283
2022-07-19 13:35:00,16284,16294,16279,16293
2022-07-19 13:40:00,16293,16301,16292,16297
2022-07-19 13:45:00,16297,16300,16289,16298
2022-07-19 13:50:00,16299,16301,16293,16297
2022-07-19 13:55:00,16297,16307,16292,16303
2022-07-19 14:00:00,16302,16312,16301,16312
2022-07-19 14:05:00,16312,16315,16308,16311
2022-07-19 14:10:00,16310,16311,16298,16298
2022-07-19 14:15:00,16298,16308,16279,16303
2022-07-19 14:20:00,16303,16308,16300,16305
2022-07-19 14:25:00,16304,16326,16303,16322
